drug_id,canonical_name,available,source
103,5-aminolevulinic acid,N,NA
104,acalabrutinib,Y,CADTH
105,acetylcysteine,N,NA
106,acoramidis,N,NA
107,acyclovir,Y,NA
108,adagrasib,N,NA
109,afatinib,Y,CADTH
110,aficamten,N,NA
111,albendazole,N,NA
112,alectinib,Y,CADTH
113,alitretinoin,Y,CADTH
114,allopurinol,Y,NA
78,alpelisib,N,NA
115,altretamine,Y,NA
116,amantadine,Y,NA
117,ambrisentan,Y,CADTH
118,amifampridine,Y,CADTH
119,amifostine,N,NA
120,amiodarone hcl,Y,NA
121,amphotericin b lipid complex,Y,NA
122,anagrelide,Y,NA
123,apomorphine hcl,N,NA
124,apremilast,Y,CADTH
82,arimoclomol,N,NA
125,aripiprazole,Y,CADTH
126,arsenic trioxide,Y,CADTH
127,artemether/lumefantrine,N,NA
60,artesunate,N,NA
37,asciminib,Y,CADTH
128,ascorbic acid,Y,NA
129,atovaquone,Y,NA
66,avacopan,N,NA
30,avapritinib,Y,CADTH
130,avatrombopag,N,NA
131,avutometinib; defactinib,N,NA
132,azacitidine,Y,CADTH
133,aztreonam,N,NA
134,baclofen,Y,NA
135,balsalazide disodium,N,NA
83,bardoxolone methyl,N,NA
98,beclomethasone dipropionate,Y,NA
136,bedaquiline,N,NA
137,belinostat,Y,CADTH
20,belumosudil mesilate,Y,CADTH
138,belzutifan,Y,CADTH
139,bendamustine for 50 ml admixture,N,NA
140,benznidazole,N,NA
91,benzoate,N,NA
141,benzoate and phenylacetate,N,NA
142,berotralstat,Y,CADTH
143,betaine,N,NA
144,bexarotene,N,NA
145,bicarbonate infusate,N,NA
146,birch triterpenes,N,NA
147,bortezomib,Y,CADTH
102,bosentan,Y,NA
148,bosutinib,Y,CADTH
149,brigatinib,Y,CADTH
150,brilliant blue g ophthalmic solution,N,NA
151,brincidofovir,N,NA
65,budesonide + micronised,Y,CADTH
152,buprenorphine in combination with naloxone,Y,NA
153,busulfan,Y,NA
10,cabozantinib,Y,CADTH
92,caffeine,Y,NA
154,calcium,N,NA
155,calcium + magnesium + potassium + and oxybates,N,NA
9,cannabidiol,Y,CADTH
156,capmatinib,N,NA
157,capsaicin,N,NA
158,carfilzomib,Y,CADTH
159,carglumic acid,N,NA
160,cedazuridine and decitabine,N,NA
161,ceritinib,Y,CADTH
52,chenodeoxycholic acid,N,NA
70,chlormethine,N,NA
162,cholic acid,N,NA
163,cinacalcet,Y,NA
164,cladribine,Y,CADTH
165,clobazam,Y,NA
166,clofarabine,N,NA
167,clofazimine,N,NA
168,clonidine,Y,NA
169,clotrimazole,Y,NA
170,cobicistat,N,NA
171,cobimetinib,Y,CADTH
172,colchicine,N,NA
173,colfosceril palmitate + cetyl alcohol + tyloxapol,N,NA
81,copanlisib dihydrochloride,N,NA
174,copper histidinate,N,NA
175,crinecerfont,N,NA
176,crizotinib,Y,CADTH
177,cromolyn ophthalmic solution,N,NA
178,cysteamine enteric coated,Y,CADTH
179,cytarabine liposomal,N,NA
180,d6-tetrabenazine + deutetrabenazine,N,NA
23,dabrafenib mesilate,Y,CADTH
181,dacomitinib,Y,CADTH
182,dalfampridine,N,NA
29,danicopan,Y,CADTH
183,dantrolene suspension for injection,Y,NA
184,dasatinib,Y,NA
77,daunorubicin ;cytarabine,N,NA
185,daunorubicin liposome injection,Y,NA
186,decitabine,N,NA
187,deferasirox,Y,CADTH
89,deferiprone,Y,CADTH
188,deflazacort,N,NA
189,dehydrated alcohol,N,NA
3,delamanid,N,NA
190,delandistrogene moxeparvovec-rokl,N,NA
191,dexamethasone intravitreal implant,Y,NA
192,dexrazoxane,N,NA
193,diazepam,Y,NA
194,diazoxide choline,N,NA
195,dichlorphenamide,N,NA
196,diethylenetriaminepentaacetic acid,N,NA
197,difluprednate,N,NA
198,dordaviprone,N,NA
21,doxecitine;doxribtimine,N,NA
199,doxorubicin hcl liposome injection,N,NA
200,dronabinol,N,NA
201,droxidopa,N,NA
202,duvelisib,N,NA
90,edaravone,Y,CADTH
86,eflornithine ;sulindac,N,NA
203,eflornithine hcl,N,NA
54,elafibranor,Y,CADTH
204,elamipretide,N,NA
205,elapegademase-lvlr,N,NA
61,eliglustat,Y,CADTH
206,eltrombopag,Y,CADTH
207,emtricitabine and tenofovir alafenamide,Y,NA
208,enasidenib,N,NA
209,encorafenib,Y,CADTH
210,encorafenib + binimetinib,N,NA
211,entrectinib,Y,CADTH
212,epirubicin,N,NA
213,epoetin alfa,Y,NA
214,epoprostenol,N,NA
99,eprodisate disodium,N,NA
215,eribulin,N,NA
94,etarfolatide,N,NA
216,ethanolamine oleate,N,NA
217,ethiodized oil injection,N,NA
218,etidronate disodium,Y,NA
219,everolimus,Y,CADTH
220,exemestane,Y,NA
28,fedratinib dihydrochloride monohydrate,Y,CADTH
221,felbamate,N,NA
222,fenfluramine hci,N,NA
223,ferumoxytol,Y,CADTH
224,fexinidazole,N,NA
225,fludarabine oral tablets,Y,NA
100,fluocinolone acetonide,Y,CADTH
226,fomepizole,N,NA
