"Project Number","Brand Name","Generic Name","Therapeutic Area","Recommendation Type","Project Status","Date Submission Received","Date Recommendation Issued"
PG0240-000,Abecma,"idecabtagene vicleucel","Multiple myeloma","Do not reimburse",Complete,"Dec 16, 2020","Oct 27, 2021"
SR0183-000,Abilify,Aripiprazole,Schizophrenia,"Do not list",Complete,"Nov 6, 2009","Apr 27, 2010"
SF0226-000,Abilify,Aripiprazole,"Schizophrenia and related psychotic disorders","List with clinical criteria and/or conditions",Complete,"Mar 29, 2011","Jul 18, 2011"
SR0354-000,Abilify,Aripiprazole,"Depression, Major Depressive Disorder","Do not list",Complete,"Oct 1, 2013","Oct 22, 2014"
SR0366-000,"Abilify Maintena",Aripiprazole,Schizophrenia,"List with criteria/condition",Complete,"Jan 6, 2014","Dec 19, 2014"
PC0037-000,Abraxane,Nab-paclitaxel,"Metastatic Pancreatic Cancer","Reimburse with clinical criteria and/or conditions",Complete,,"Sep 23, 2014"
SR0240-000,Abstral,"Fentanyl citrate","Pain, breakthrough cancer pain","Do not list",Complete,"Jun 30, 2011","Dec 16, 2011"
SR0114-000,Aclasta,"Zoledronic acid","Osteoporosis, postmenopausal women","Do not list",Complete,"Nov 29, 2007","Jun 25, 2008"
SF0242-000,Aclasta,"Zoledronic acid",Osteoporosis,"List with clinical criteria and/or conditions",Complete,"Jul 20, 2011","Nov 16, 2011"
SR0267-000,Actemra,Tocilizumab,"Arthritis, juvenile idiopathic","List with clinical criteria and/or conditions",Complete,"Jan 30, 2012","Jul 19, 2012"
SR0201-000,Actemra,Tocilizumab,"Arthritis, Rheumatoid","List with clinical criteria and/or conditions",Complete,"May 27, 2010","Nov 17, 2010"
SR0343-000,Actemra,Tocilizumab,"Arthritis, polyarticular juvenile idiopathic","List with criteria/condition",Complete,"Jul 29, 2013","Mar 19, 2014"
SR0374-000,Actemra,Tocilizumab,"Arthritis, rheumatoid","List with criteria/condition",Complete,"Mar 3, 2014","Feb 19, 2015"
SR0534-000,Actemra,tocilizumab,"Giant cell arteritis (GCA)","Reimburse with clinical criteria and/or conditions",Complete,"Sep 25, 2017","Mar 27, 2018"
SR0498-000,Actikerall,"Fluorouracil and Salicylic Acid","Hyperkeratotic actinic keratosis","Reimburse with clinical criteria and/or conditions",Complete,"Aug 31, 2016","Mar 22, 2017"
