"active_ingredient","dosage_form","strength","subsidy_class","clinical_indication"
"Abacavir & Lamivudine","Tablet","Abacavir 600 mg + Lamivudine 300 mg","SDL",""
"Abacavir, Dolutegravir & Lamivudine","Tablet","Abacavir 600 mg + Dolutegravir 50 mg + Lamivudine 300 mg","SDL",""
"Abemaciclib","Tablet","50 mg, 100 mg, 150 mg","MAF","1) Abemaciclib in combination with an aromatase inhibitor as initial endocrine-based therapy for HR-positive, HER2-negative, advanced or metastatic breast cancer. Pre/perimenopausal women treated with this combination could also receive a luteinizing hormone-releasing hormone agonist according to local clinical practice.

2) Abemaciclib in combination with fulvestrant for treating HR-positive, HER2-negative, advanced or metastatic breast cancer in patients who have received prior endocrine therapy. Pre/perimenopausal women treated with this combination could also receive a luteinizing hormone-releasing hormone agonist according to local clinical practice.

3) Abemaciclib in combination with endocrine therapy for adjuvant treatment of patients with HR-positive, HER2-negative, node-positive early breast cancer at high risk of recurrence. Maxiumum treatment duration: 2 years."
"Abiraterone Acetate","Tablet","250 mg","SDL",""
"Abrocitinib","Tablet","50 mg, 100 mg, 200 mg","MAF","Additional clinical criteria applies

Treatment of moderate to severe atopic dermatitis (AD)"
"Acalabrutinib","Capsule","100 mg","MAF","1) Monotherapy for previously untreated chronic lymphocytic leukaemia (CLL) or small lymphocytic lymphoma (SLL) in patients who are unsuitable for fludarabine-based therapy

2) Monotherapy for chronic lymphocytic leukaemia (CLL) or small lymphocytic lymphoma (SLL) in patients who have received at least one prior therapy

3) Treatment of patients with mantle cell lymphoma (MCL) who have received at least one prior therapy"
"Acalabrutinib","Tablet","100 mg","MAF","1) Monotherapy for previously untreated chronic lymphocytic leukaemia (CLL) or small lymphocytic lymphoma (SLL) in patients who are unsuitable for fludarabine-based therapy

2) Monotherapy for chronic lymphocytic leukaemia (CLL) or small lymphocytic lymphoma (SLL) in patients who have received at least one prior therapy

3) Treatment of patients with mantle cell lymphoma (MCL) who have received at least one prior therapy"
"Acetazolamide","Tablet","250 mg","SDL",""
"Acetic acid","Ear drops","2%, 3%, 4%, 5%","SDL",""
"Acetylcysteine","Injection","5 g/25 mL","SDL",""
"Acyclovir","Infusion","250 mg","SDL",""
"Acyclovir","Eye ointment","3%","SDL",""
"Acyclovir","Tablet","200 mg, 400 mg, 800 mg","SDL",""
"Acitretin","Capsule","10 mg, 25 mg","SDL",""
"Adalimumab Biosimilar (Amgevita)","Prefilled autoinjector","40 mg/0.8 mL","SDL",""
"Adalimumab Biosimilar (Amgevita)","Prefilled syringe","20 mg/0.4 mL, 40 mg/0.8 mL","SDL",""
"Adrenaline","Injection","1:1,000 (1 mg/mL), 1:10,000 (1 mg/10 mL)","SDL",""
"Adrenaline","Prefilled syringe","1:10,000 (1 mg/10 mL)","SDL",""
"Afatinib","Tablet","20 mg, 30 mg, 40 mg","MAF","Treatment of locally advanced or metastatic EGFR mutation-positive non-small cell lung cancer"
"Aflibercept (Eylea)","Injection","2 mg/0.05 mL","MAF","1) Treatment of adults with visual impairment due to neovascular (wet) age-related macular degeneration.

2) Treatment of adults with visual impairment due to diabetic macular oedema.

3) Treatment of adults with visual impairment due to macular oedema secondary to retinal vein occlusion.

4) Treatment of adults with visual impairment due to myopic choroidal neovascularisation."
"Aflibercept (Eylea)","Injection, prefilled syringe","2 mg/0.05 mL","MAF","1) Treatment of adults with visual impairment due to neovascular (wet) age-related macular degeneration.

2) Treatment of adults with visual impairment due to diabetic macular oedema.

3) Treatment of adults with visual impairment due to macular oedema secondary to retinal vein occlusion.

4) Treatment of adults with visual impairment due to myopic choroidal neovascularisation."
"Agalsidase alfa (Replagal)","Concentrate for","3.5 mg/3.5 mL solution for infusion","MAF","Additional clinical criteria applies

For enzyme replacement therapy in patients with Fabry disease. Diagnosis of Fabry disease must be confirmed by the demonstration of specific deficiency of alpha-galactosidase enzyme activity in the blood or white cells, or the presence of genetic mutations known to result in deficiency of alpha-galactosidase enzyme activity."
"Albendazole","Oral suspension","400 mg/10 mL","SDL",""
"Albendazole","Tablet","400 mg","SDL",""
"Alectinib","Capsule","150 mg","MAF","Treatment of locally advanced or metastatic ALK mutation-positive non-small cell lung cancer"
"Alendronic Acid","Tablet","10 mg, 70 mg","SDL",""
