drug;name_length;suggested_class;manual_classification;review_note
+ potassium + and magnesium;27;UNKNOWN;N;CHECK: Manual review needed
adamts13 + recombinant-krhn;27;UNKNOWN;N;CHECK: Manual review needed
alglucerase injection;21;UNKNOWN;N;CHECK: Manual review needed
allogeneic processed thymus tissue-agdc;39;UNKNOWN;N;CHECK: Manual review needed
amphotericin b lipid complex;28;UNKNOWN;Y;CHECK: Manual review needed
anacaulase-bcdb;15;UNKNOWN;N;CHECK: Manual review needed
anthrax vaccine adsorbed;24;UNKNOWN;N;CHECK: Manual review needed
anthrax vaccine adsorbed + adjuvanted;37;UNKNOWN;N;CHECK: Manual review needed
anti-inhibitor coagulant complex;32;UNKNOWN;N;CHECK: Manual review needed
antithrombin iii;16;UNKNOWN;N;CHECK: Manual review needed
artemether/lumefantrine;23;UNKNOWN;Y;CHECK: Manual review needed
asparaginase erwinia chrysanthemi -rywn;39;UNKNOWN;N;CHECK: Manual review needed
atidarsagene autotemcel;23;UNKNOWN;N;CHECK: Manual review needed
atoltivimab + maftivimab + and odesivimab-ebgn;46;UNKNOWN;N;CHECK: Manual review needed
avalglucosidase alfa-ngpt;25;UNKNOWN;N;CHECK: Manual review needed
"avutometinib; defactinib";24;UNKNOWN;Y;CHECK: Manual review needed
axatilimab-csfr;15;UNKNOWN;N;CHECK: Manual review needed
belantamab mafodotin;20;UNKNOWN;N;CHECK: Manual review needed
belantamab mafodotin-blmf;25;UNKNOWN;N;CHECK: Manual review needed
belumosudil mesilate;20;UNKNOWN;Y;CHECK: Manual review needed
bendamustine for 50 ml admixture;32;UNKNOWN;Y;CHECK: Manual review needed
bendamustine for 50ml admixture;31;UNKNOWN;N;CHECK: Manual review needed
benzoate and phenylacetate;26;UNKNOWN;Y;CHECK: Manual review needed
benzoate/phenylacetate;22;UNKNOWN;N;CHECK: Manual review needed
beremagene geperpavec;21;UNKNOWN;N;CHECK: Manual review needed
beremagene geperpavec-svdt;26;UNKNOWN;N;CHECK: Manual review needed
betibeglogene autotemcel;24;UNKNOWN;N;CHECK: Manual review needed
bicarbonate infusate;20;UNKNOWN;Y;CHECK: Manual review needed
birch triterpenes;17;UNKNOWN;Y;CHECK: Manual review needed
botulinum toxin type a;22;UNKNOWN;N;CHECK: Manual review needed
botulinum toxin type b;22;UNKNOWN;N;CHECK: Manual review needed
botulism antitoxin heptavalent;30;UNKNOWN;N;CHECK: Manual review needed
brentuximab vedotin;19;UNKNOWN;N;CHECK: Manual review needed
brilliant blue g ophthalmic solution;36;UNKNOWN;Y;CHECK: Manual review needed
budesonide + micronised;23;UNKNOWN;Y;CHECK: Manual review needed
buprenorphine in combination with naloxone;42;UNKNOWN;Y;CHECK: Manual review needed
c1 esterase inhibitor;21;UNKNOWN;N;CHECK: Manual review needed
c1 esterase inhibitor subcutaneous;34;UNKNOWN;N;CHECK: Manual review needed
c1-esterase inhibitor;21;UNKNOWN;N;CHECK: Manual review needed
calcitonin-human for injection;30;UNKNOWN;N;CHECK: Manual review needed
calcium + magnesium + potassium + and  oxybates;47;UNKNOWN;Y;CHECK: Manual review needed
caplacizumab-yhdp;17;UNKNOWN;N;CHECK: Manual review needed
cedazuridine and decitabine;27;UNKNOWN;Y;CHECK: Manual review needed
cenegermin-bkbj;15;UNKNOWN;N;CHECK: Manual review needed
cipaglucosidase alfa-atga and miglustat;39;UNKNOWN;N;CHECK: Manual review needed
coccidioidin sd skin test antigen;33;UNKNOWN;N;CHECK: Manual review needed
colfosceril palmitate + cetyl alcohol + tyloxapol;49;UNKNOWN;Y;CHECK: Manual review needed
collagenase clostridium histolyticum;36;UNKNOWN;N;CHECK: Manual review needed
concizumab-mtci;15;UNKNOWN;N;CHECK: Manual review needed
cromolyn   ophthalmic solution;30;UNKNOWN;Y;CHECK: Manual review needed
crovalimab-akkz;15;UNKNOWN;N;CHECK: Manual review needed
cysteamine enteric coated;25;UNKNOWN;Y;CHECK: Manual review needed
cytarabine liposomal;20;UNKNOWN;Y;CHECK: Manual review needed
d6-tetrabenazine + deutetrabenazine;35;UNKNOWN;Y;CHECK: Manual review needed
dabrafenib and trametinib;25;UNKNOWN;Y;CHECK: Manual review needed
dantrolene  suspension for injection;36;UNKNOWN;Y;CHECK: Manual review needed
daratumumab and hyaluronidase-fihj;34;UNKNOWN;N;CHECK: Manual review needed
daunorubicin  liposome injection;32;UNKNOWN;Y;CHECK: Manual review needed
"daunorubicin ;cytarabine";24;UNKNOWN;Y;CHECK: Manual review needed
daxibotulinumtoxina-lanm;24;UNKNOWN;N;CHECK: Manual review needed
delandistrogene moxeparvovec;28;UNKNOWN;N;CHECK: Manual review needed
denileukin diftitox;19;UNKNOWN;N;CHECK: Manual review needed
denileukin diftitox-cxdl;24;UNKNOWN;N;CHECK: Manual review needed
dexamethasone intravitreal implant;34;UNKNOWN;Y;CHECK: Manual review needed
donislecel-jujn;15;UNKNOWN;N;CHECK: Manual review needed
"doxecitine;doxribtimine";23;UNKNOWN;Y;CHECK: Manual review needed
doxorubicin liposome;20;UNKNOWN;Y;CHECK: Manual review needed
efgartigimod alfa and hyaluronidase-qvfc;40;UNKNOWN;N;CHECK: Manual review needed
efgartigimod alfa and hyaluronidase-qvfc);41;UNKNOWN;N;CHECK: Manual review needed
efgartigimod alfa-fcab;22;UNKNOWN;N;CHECK: Manual review needed
eflornithine  monohydrate;25;UNKNOWN;Y;CHECK: Manual review needed
"eflornithine ;sulindac";22;UNKNOWN;Y;CHECK: Manual review needed
eladocagene exuparvovec;23;UNKNOWN;N;CHECK: Manual review needed
eladocagene exuparvovec-tneq;28;UNKNOWN;N;CHECK: Manual review needed
elivaldogene autotemcel;23;UNKNOWN;N;CHECK: Manual review needed
elranatamab-bcmm;16;UNKNOWN;N;CHECK: Manual review needed
emapalumab-lzsg;15;UNKNOWN;N;CHECK: Manual review needed
emicizumab-kxwh;15;UNKNOWN;N;CHECK: Manual review needed
encorafenib + binimetinib;25;UNKNOWN;Y;CHECK: Manual review needed
epcoritamab-bysp;16;UNKNOWN;N;CHECK: Manual review needed
ethiodized oil injection;24;UNKNOWN;Y;CHECK: Manual review needed
etranacogene dezaparvovec;25;UNKNOWN;N;CHECK: Manual review needed
etranacogene dezaparvovec-drlb;30;UNKNOWN;N;CHECK: Manual review needed
etuvetidigene autotemcel;24;UNKNOWN;N;CHECK: Manual review needed
evinacumab-dgnb;15;UNKNOWN;N;CHECK: Manual review needed
exagamglogene autotemcel;24;UNKNOWN;N;CHECK: Manual review needed
