drug_id;canonical_name;approved;source
103;5-aminolevulinic acid;Y;auto
104;acalabrutinib;Y;auto
105;acetylcysteine;Y;auto
106;acoramidis;Y;auto
107;acyclovir;Y;
108;adagrasib;Y;auto
109;afatinib;Y;auto
110;aficamten;Y;auto
111;albendazole;Y;auto
112;alectinib;Y;auto
113;alitretinoin;Y;auto
114;allopurinol;Y;auto
78;alpelisib;Y;auto
115;altretamine;N;
116;amantadine;Y;auto
117;ambrisentan;Y;auto
118;amifampridine;Y;auto
119;amifostine;N;
120;amiodarone hcl;Y;
121;amphotericin b lipid complex;Y;
122;anagrelide;Y;auto
123;apomorphine hcl;Y;auto
124;apremilast;Y;auto
82;arimoclomol;N;
125;aripiprazole;Y;auto
126;arsenic trioxide;Y;auto
127;artemether/lumefantrine;Y;
60;artesunate;Y;auto
37;asciminib;Y;auto
128;ascorbic acid;Y;auto
129;atovaquone;Y;auto
66;avacopan;Y;auto
30;avapritinib;Y;auto
130;avatrombopag;Y;auto
131;"avutometinib; defactinib";N;
132;azacitidine;Y;auto
133;aztreonam;Y;auto
134;baclofen;Y;auto
135;balsalazide disodium;N;
83;bardoxolone methyl;N;
98;beclomethasone dipropionate;Y;
136;bedaquiline;Y;auto
137;belinostat;N;
20;belumosudil mesilate;Y;
138;belzutifan;Y;auto
139;bendamustine for 50 ml admixture;Y;auto
140;benznidazole;N;
91;benzoate;Y;
141;benzoate and phenylacetate;N;
142;berotralstat;Y;
143;betaine;Y;auto
144;bexarotene;Y;auto
145;bicarbonate infusate;Y;
146;birch triterpenes;N;
147;bortezomib;Y;auto
102;bosentan;Y;auto
148;bosutinib;Y;auto
149;brigatinib;Y;auto
150;brilliant blue g ophthalmic solution;Y;
151;brincidofovir;N;
65;budesonide + micronised;Y;auto
152;buprenorphine in combination with naloxone;Y;
153;busulfan;Y;auto
10;cabozantinib;Y;auto
92;caffeine;Y;auto
154;calcium;Y;auto
155;calcium + magnesium + potassium + and oxybates;Y;
9;cannabidiol;Y;auto
156;capmatinib;Y;
157;capsaicin;Y;auto
158;carfilzomib;Y;auto
159;carglumic acid;Y;auto
160;cedazuridine and decitabine;Y;auto
161;ceritinib;Y;auto
52;chenodeoxycholic acid;Y;auto
70;chlormethine;Y;auto
162;cholic acid;Y;auto
163;cinacalcet;Y;auto
164;cladribine;Y;auto
165;clobazam;Y;auto
166;clofarabine;Y;auto
167;clofazimine;N;
168;clonidine;Y;auto
169;clotrimazole;Y;auto
170;cobicistat;Y;auto
171;cobimetinib;Y;
172;colchicine;Y;auto
173;colfosceril palmitate + cetyl alcohol + tyloxapol;Y;
81;copanlisib dihydrochloride;N;
174;copper histidinate;N;
175;crinecerfont;N;
176;crizotinib;Y;auto
177;cromolyn ophthalmic solution;N;
178;cysteamine enteric coated;Y;
179;cytarabine liposomal;Y;
180;d6-tetrabenazine + deutetrabenazine;Y;
23;dabrafenib mesilate;Y;auto
181;dacomitinib;Y;
182;dalfampridine;Y;
29;danicopan;Y;auto
183;dantrolene suspension for injection;Y;
184;dasatinib;Y;auto
77;"daunorubicin ;cytarabine";Y;auto
185;daunorubicin liposome injection;Y;
186;decitabine;Y;auto
187;deferasirox;Y;auto
89;deferiprone;Y;auto
188;deflazacort;Y;auto
189;dehydrated alcohol;Y;
3;delamanid;Y;auto
190;delandistrogene moxeparvovec-rokl;N;
191;dexamethasone intravitreal implant;Y;auto
192;dexrazoxane;Y;auto
193;diazepam;Y;auto
194;diazoxide choline;Y;
195;dichlorphenamide;N;
196;diethylenetriaminepentaacetic acid;Y;
197;difluprednate;N;
198;dordaviprone;N;
21;"doxecitine;doxribtimine";Y;
199;doxorubicin hcl liposome injection;Y;
200;dronabinol;Y;
201;droxidopa;N;
202;duvelisib;Y;auto
90;edaravone;N;
86;"eflornithine ;sulindac";N;
203;eflornithine hcl;Y;auto
54;elafibranor;Y;auto
204;elamipretide;N;
205;elapegademase-lvlr;N;
61;eliglustat;Y;auto
206;eltrombopag;Y;auto
207;emtricitabine and tenofovir alafenamide;Y;auto
208;enasidenib;N;
209;encorafenib;Y;auto
210;encorafenib + binimetinib;Y;auto
211;entrectinib;Y;auto
212;epirubicin;Y;auto
213;epoetin alfa;Y;auto
214;epoprostenol;Y;auto
99;eprodisate disodium;N;
215;eribulin;Y;auto
94;etarfolatide;N;
216;ethanolamine oleate;Y;
217;ethiodized oil injection;Y;
218;etidronate disodium;N;
219;everolimus;Y;auto
220;exemestane;Y;auto
28;fedratinib dihydrochloride monohydrate;Y;auto
221;felbamate;Y;auto
222;fenfluramine hci;Y;auto
223;ferumoxytol;N;
224;fexinidazole;N;
225;fludarabine oral tablets;Y;auto
100;fluocinolone acetonide;Y;auto
226;fomepizole;Y;auto
227;foscarbidopa and foslevodopa;Y;
76;fosdenopterin hydrobromide dihydrate;Y;auto
228;fosphenytoin;N;
229;fostamatinib disodium hexahydrate;Y;
230;futibatinib;Y;auto
231;gabapentin;Y;auto
232;gabapentin enacarbil;N;
233;gallium-68 octreotide;N;
8;ganaxolone;Y;auto
234;ganciclovir intravitreal implant;Y;auto
235;gefitinib;Y;auto
26;gilteritinib;Y;auto
56;givinostat monohydrate;Y;auto
63;glasdegib;Y;auto
79;glibenclamide;Y;auto
33;glucarpidase;Y;auto
236;glutamine;Y;
39;glycerol phenylbutyrate;Y;auto
237;glycopyrrolate;N;
67;govorestat;N;
97;gusperimus trihydrochloride;N;
238;halofantrine;N;
239;hemin;Y;auto
240;hydrocortisone;Y;auto
241;hydroxycarbamide;Y;auto
242;hydroxyprogesterone caproate;N;
243;ibrutinib;Y;auto
244;ibuprofen lysine;Y;
245;idarubicin hcl for injection;Y;
87;"idebenone;titanium dioxide";Y;auto
246;idelalisib;Y;auto
247;ifosfamide;Y;auto
248;iloprost inhalation solution;Y;auto
249;imatinib;Y;auto
84;infigratinib monophosphate;N;
250;interferon alfa-2b;Y;
251;intravenous carbamazepine;Y;
252;iobenguane i;Y;
34;iptacopan monohydrate;Y;auto
72;irinotecan anhydrous free-base;Y;auto
253;iron-hexacyanoferrate;N;
55;isavuconazole;Y;auto
254;isavuconazonium;Y;
255;ivabradine;Y;auto
256;ivacaftor;Y;auto
1;"ivacaftor;tezacaftor;elexacaftor";Y;auto
14;ivosidenib;Y;auto
50;ixazomib;Y;auto
257;l-glutamine;Y;
258;lamotrigine;Y;auto
259;larotrectinib;Y;auto
260;ledipasvir/sofosbuvir;Y;auto
261;lenalidomide;Y;auto
262;leniolisib;N;
263;lenvatinib;Y;auto
74;leriglitazone;N;
35;letermovir;Y;auto
264;leucovorin;Y;
265;levacetylleucine;Y;auto
266;levocarnitine;Y;auto
267;levodopa and carbidopa;Y;auto
268;levoketoconazole;N;
269;levoleucovorin;N;
270;levomethadyl;N;
271;lidocaine patch;Y;
272;linerixibat;N;
273;liothyronine injection;Y;
274;liposomal amikacin;Y;auto
275;lodoxamide tromethamine;N;
276;lomitapide;Y;auto
69;lonafarnib;Y;auto
277;lorlatinib;Y;auto
278;lumacaftor and ivacaftor;Y;auto
280;lurbinectedin;N;
41;lutetium oxodotreotide;Y;auto
281;macimorelin;Y;auto
282;macitentan;Y;auto
283;macitentan and tadalafil;Y;auto
284;mafenide solution;N;
285;mannitol;Y;auto
47;maralixibat chloride;Y;auto
43;maribavir;Y;auto
68;masitinib mesilate;N;
286;mavacamten;Y;auto
13;mavorixafor;N;
287;mebendazole;Y;auto
288;megestrol;Y;auto
289;meloxicam;Y;auto
290;melphalan;Y;auto
291;melphalan flufenamide;Y;auto
53;mercaptamine;Y;auto
292;mercaptopurine oral solution;Y;
293;"mesalamine; 5-aminosalicylic acid";N;
294;mesna;Y;auto
295;methotrexate oral solution;Y;auto
296;methylene blue;Y;
297;metronidazole;Y;auto
25;mexiletine;Y;auto
298;midazolam;Y;auto
299;midodrine hcl;Y;
27;midostaurin;Y;auto
93;mifepristone;Y;auto
49;migalastat;Y;auto
300;miglustat;Y;auto
301;miltefosine;N;
51;mirdametinib;Y;auto
85;mitapivat;Y;auto
302;mitomycin-c;Y;auto
303;mitoxantrone hcl;Y;auto
304;mobocertinib;N;
305;modafinil;Y;auto
62;momelotinib dihydrochloride monohydrate;Y;auto
306;monooctanoin;N;
307;morphine concentrate;Y;
308;moxidectin;N;
309;naltrexone hcl;Y;
310;nelarabine;Y;auto
311;nerandomilast;N;
312;nifurtimox;N;
313;nilotinib;Y;auto
314;nimodipine;Y;auto
315;nintedanib;Y;auto
40;niraparib;Y;auto
45;nirogacestat hydrobromide;Y;auto
316;nitazoxanide;N;
317;nitisinone;Y;auto
318;nitric oxide;Y;auto
376;nitrite and thiosulfate;Y;auto
57;odevixibat;Y;auto
319;ofloxacin;Y;auto
320;olaparib;Y;auto
321;olutasidenib;N;
322;omacetaxine mepesuccinate;N;
6;omaveloxolone;Y;auto
71;osilodrostat;Y;auto
323;osimertinib;Y;
377;oxybate;Y;auto
324;paclitaxel;Y;auto
325;pacritinib;N;
80;palovarotene;N;
12;paltusotine;N;
326;panobinostat;Y;
327;paricalcitol;Y;auto
328;pazopanib;Y;auto
329;pegvaliase-pqpz;Y;auto
330;pemetrexed disodium;Y;auto
5;pemigatinib;Y;auto
331;pentamidine isethionate;Y;auto
332;pentastarch;N;
333;pentosan polysulfate;Y;auto
334;pentostatin for injection;N;
88;pexidartinib;N;
335;phenobarbital;Y;auto
378;phenylbutyrate and taurursodiol;N;
336;phoxillum;N;
337;pilocarpine hcl;Y;auto
338;pirfenidone;Y;auto
339;pirtobrutinib;Y;auto
48;pitolisant;Y;auto
340;plerixafor;Y;auto
341;polifeprosan 20 with carmustine;N;
73;polihexanide;Y;auto
342;pomalidomide;Y;auto
343;ponatinib;Y;auto
344;porfimer;N;
345;posaconazole;Y;auto
346;potassium iodide oral solution;Y;auto
96;pralatrexate;N;
347;pralsetinib;N;
16;pretomanid;Y;auto
31;pridopidine;N;
348;propranolol;Y;auto
349;quinine;Y;auto
350;quizartinib;Y;
351;raloxifene;Y;auto
352;regorafenib;Y;auto
353;repotrectinib;Y;auto
59;resminostat mesilate;N;
354;revumenib;N;
355;ribavirin;Y;auto
356;riboflavin ophthalmic solution & ultraviolet a;N;
357;rifabutin;Y;auto
358;rifampin;Y;
359;rifampin + isoniazid + pyrazinamide;Y;
360;rifapentine;N;
361;rifaximin;Y;auto
362;riluzole;Y;auto
32;rilzabrutinib;Y;auto
363;riociguat;Y;auto
19;ripretinib;Y;auto
364;risdiplam;Y;auto
95;romidepsin;N;
365;rosuvastatin;Y;auto
101;rubitecan;N;
366;rucaparib;Y;
367;rufinamide;Y;auto
368;ruxolitinib;Y;auto
369;sapropterin;Y;auto
44;sebetralstat;Y;auto
15;seladelpar lysine dihydrate;Y;auto
370;selegiline hcl;N;
371;selexipag;Y;auto
372;selinexor;Y;auto
373;selpercatinib;Y;auto
22;selumetinib;Y;auto
17;sepiapterin;Y;auto
374;sevabertinib;N;
375;sildenafil;Y;auto
58;sirolimus;Y;auto
380;sofosbuvir;Y;auto
381;solriamfetol;Y;auto
382;sorafenib;Y;auto
383;sotalol hcl;Y;auto
384;sotorasib;Y;auto
38;sparsentan;Y;auto
385;sterile talc powder;N;
386;stiripentol;Y;auto
387;succimer;Y;
388;sulfadiazine;Y;
389;tacrolimus extended-release capsules;Y;auto
390;tadalafil;Y;auto
46;tafamidis;Y;auto
391;tafamidis meglumine;Y;
392;tafenoquine;N;
393;taletrectinib;N;
394;tasimelteon;Y;auto
395;tazemetostat;N;
396;tecovirimat;Y;auto
36;telotristat etiprate;Y;auto
397;temozolomide;Y;auto
398;teniposide;N;
399;tenofovir;Y;
400;tepotinib;Y;
401;tetrabenazine;Y;auto
279;"tezacaftor;ivacaftor";Y;auto
402;thalidomide;Y;auto
379;thiosulfate;Y;auto
403;thiotepa;Y;auto
404;tinidazole;N;
405;tiopronin;N;
64;tiratricol;Y;auto
406;tobramycin for inhalation;Y;
407;tolvaptan;Y;auto
408;topiramate;Y;auto
409;toremifene;Y;auto
11;tovorafenib;N;
410;trabectedin;Y;auto
411;trametinib and dabrafenib;N;
42;trametinib dimethyl sulfoxide;Y;auto
412;treosulfan;Y;auto
413;treprostinil inhalation powder;Y;auto
414;triclabendazole;N;
415;trientine hcl;Y;auto
416;trifluridine/tipiracil;Y;auto
417;triheptanoin;N;
418;trimetrexate glucuronate;N;
4;trofinetide;N;
419;trypan blue;N;
420;tucatinib;Y;auto
421;umbralisib;N;
422;upadacitinib;Y;auto
423;uridine triacetate;Y;
424;urofollitropin;Y;auto
425;ursodiol;Y;
426;valbenazine;N;
427;valrubicin;N;
24;vamorolone;Y;auto
428;vandetanib;Y;auto
429;vanzacaftor + tezacaftor + and deutivacaftor;Y;
7;velmanase alfa;Y;auto
430;vemurafenib;Y;auto
431;venetoclax;Y;auto
432;vigabatrin;Y;auto
18;vimseltinib dihydrate;Y;auto
433;vincristine liposome injection;Y;
2;vorasidenib;Y;auto
434;vorinostat;N;
75;voxelotor;Y;
435;zanubrutinib;Y;auto
436;zidovudine;Y;auto
437;ziftomenib;N;
438;zinc;Y;auto
439;zoledronate;N;
