drug_id,canonical_name,condition,suggested_category,manual_category,Column1
1,ivacaftor;tezacaftor;elexacaftor,Cystic fibrosis,Rare respiratory disease,Rare respiratory disease,
2,vorasidenib,Glioma,Rare neoplastic disease,Rare neoplastic disease,
3,delamanid,Tuberculosis,Rare infectious disease,Rare infectious disease,
4,trofinetide,Rett syndrome + Fragile X syndrome,Rare neurologic disease + Rare developmental defect during embryogenesis,Rare neurologic disease + Rare developmental defect during embryogenesis,
5,pemigatinib,Haematopoietic neoplasm + Bile duct cancer,NA: Haematopoietic neoplasm + NA: Bile duct cancer,Rare neoplastic disease,
6,omaveloxolone,Friedreich's ataxia,NA: Friedreich's ataxia,Rare neurologic disease,
7,velmanase alfa,"GENERAL Congenital, familial and genetic disorders","NA: GENERAL Congenital, familial and genetic disorders",Rare genetic disease,
8,ganaxolone,Tuberous sclerosis complex + Seizures and seizure disorders NEC,Rare developmental defect during embryogenesis + NA: Seizures and seizure disorders NEC,Rare developmental defect during embryogenesis + Rare neurologic disease,
9,cannabidiol,Mitochondrial encephalomyopathy + 22q11.2 deletion syndrome + Epidermolysis bullosa + Epilepsy with myoclonic-atonic seizures + Fragile X syndrome + Tuberous sclerosis + Lennox-Gastaut syndrome + Graft versus host disease + Perinatal asphyxia + Dravet syndrome,Rare neurologic disease + Rare developmental defect during embryogenesis + Rare skin disease + Rare immune disease + NA: Perinatal asphyxia,Rare neurologic disease + Rare developmental defect during embryogenesis + Rare skin disease + Rare immune disease,
10,cabozantinib,medullary thyroid carcinoma,Rare neoplastic disease,Rare neoplastic disease,
11,tovorafenib,Glioma,Rare neoplastic disease,Rare neoplastic disease,
12,paltusotine,Acromegaly,Rare endocrine disease,Rare endocrine disease,
13,mavorixafor,WHIM syndrome,Rare immune disease,Rare immune disease,
14,ivosidenib,Myelodysplastic syndrome + Chondrosarcoma + Acute myeloid leukaemia,Rare neoplastic disease,Rare neoplastic disease,
15,seladelpar lysine dihydrate,Primary biliary cholangitis,Rare hepatic disease,Rare hepatic disease,
16,pretomanid,Tuberculosis,Rare infectious disease,Rare infectious disease,
17,sepiapterin,Hyperphenylalaninaemia,NA: Hyperphenylalaninaemia,Rare inborn errors of metabolism,
18,vimseltinib dihydrate,Giant cell tumour of tendon sheath,NA: Giant cell tumour of tendon sheath,Rare neoplastic disease,
19,ripretinib,gastrointestinal stromal tumours,NA: gastrointestinal stromal tumours,Rare neoplastic disease,
20,belumosudil mesilate,Graft versus host disease,Rare immune disease,Rare immune disease,
21,doxecitine;doxribtimine,Mitochondrial DNA depletion,Rare inborn errors of metabolism,Rare inborn errors of metabolism,
22,selumetinib,"Astrocytoma, low grade","NA: Astrocytoma, low grade",Rare neoplastic disease,
23,dabrafenib mesilate,Glioma,Rare neoplastic disease,Rare neoplastic disease,
24,vamorolone,Duchenne muscular dystrophy,Rare neurologic disease,Rare neurologic disease,
25,mexiletine,Myotonic disorders,NA: Myotonic disorders,Rare neurologic disease,
26,gilteritinib,Acute myeloid leukaemia,Rare neoplastic disease,Rare neoplastic disease,
27,midostaurin,Mastocytosis + Acute myeloid leukaemia,Rare neoplastic disease,Rare neoplastic disease,
28,fedratinib dihydrochloride monohydrate,Myelofibrosis + Primary myelofibrosis,Rare neoplastic disease,Rare neoplastic disease,
29,danicopan,C3 glomerulopathy + Paroxysmal nocturnal haemoglobinuria,Rare renal disease + NA: Paroxysmal nocturnal haemoglobinuria,Rare renal disease + Rare hematologic disease,
30,avapritinib,Mastocytosis + Gastrointestinal stromal tumour,Rare neoplastic disease,Rare neoplastic disease,
31,pridopidine,Amyotrophic lateral sclerosis + Huntington's disease,Rare neurologic disease + NA: Huntington's disease,Rare neurologic disease,
32,rilzabrutinib,Immunoglobulin G4 related disease + Autoimmune haemolytic anaemia + Immune thrombocytopenic purpura + Pemphigus,NA: Immunoglobulin G4 related disease + NA: Autoimmune haemolytic anaemia + NA: Immune thrombocytopenic purpura + Rare skin disease,Rare immune disease + Rare hematologic disease + Rare skin disease,
33,glucarpidase,Adjunctive treatment in patients at risk of methotrexate toxicity,NA: Adjunctive treatment in patients at risk of methotrexate toxicity,Rare disorder due to toxic effects,
34,iptacopan monohydrate,IgA nephropathy + Paroxysmal nocturnal haemoglobinuria + C3 glomerulopathy,NA: IgA nephropathy + NA: Paroxysmal nocturnal haemoglobinuria + Rare renal disease,Rare hematologic disease + Rare renal disease,
35,letermovir,Cytomegaloviral infections,NA: Cytomegaloviral infections,Rare infectious disease,
36,telotristat etiprate,Carcinoid tumor,NA: Carcinoid tumor,Rare neoplastic disease,
37,asciminib,Chronic myeloid leukaemia,Rare neoplastic disease,Rare neoplastic disease,
38,sparsentan,IgA nephropathy + Focal segmental glomerulosclerosis,NA: IgA nephropathy + NA: Focal segmental glomerulosclerosis,Rare hematologic disease + Rare renal disease,
39,glycerol phenylbutyrate,Epileptic encephalopathy + Arginase deficiency + Ornithine carbamoyltransferase deficiency,Rare neurologic disease + NA: Arginase deficiency + NA: Ornithine carbamoyltransferase deficiency,Rare neurologic disease + Rare inborn errors of metabolism,
40,niraparib,mantle cell lymphoma,Rare neoplastic disease,Rare neoplastic disease,
41,lutetium oxodotreotide,gastro-entero-pancreatic neuroendocrine tumours,NA: gastro-entero-pancreatic neuroendocrine tumours,Rare neoplastic disease,
42,trametinib dimethyl sulfoxide,Glioma,Rare neoplastic disease,Rare neoplastic disease,
43,maribavir,cytomegalovirus disease in patients with impaired cell mediated immunity,Rare infectious disease,Rare infectious disease,
44,sebetralstat,Hereditary angioedema with C1 esterase inhibitor deficiency,NA: Hereditary angioedema with C1 esterase inhibitor deficiency,Rare systemic or rheumatologic disease,
45,nirogacestat hydrobromide,Soft tissue sarcoma,Rare neoplastic disease,Rare neoplastic disease,
46,tafamidis,senile systemic amyloidosis,NA: senile systemic amyloidosis,Rare systemic or rheumatologic disease,
47,maralixibat chloride,Structural and other bile duct disorders + Progressive familial intrahepatic cholestasis + Primary sclerosing cholangitis + Alagille syndrome + Primary biliary cirrhosis,NA: Structural and other bile duct disorders + Rare hepatic disease + Rare developmental defect during embryogenesis + NA: Primary biliary cirrhosis,Rare hepatic disease + Rare developmental defect during embryogenesis,
48,pitolisant,Narcolepsy,Rare neurologic disease,Rare neurologic disease,
49,migalastat,Fabry's disease,NA: Fabry's disease,Rare inborn errors of metabolism,
50,ixazomib,Multiple myeloma,Rare neoplastic disease,Rare neoplastic disease,
51,mirdametinib,Neurofibromatosis,Rare neurologic disease,Rare neurologic disease,
52,chenodeoxycholic acid,inborn errors of primary bile acid synthesis,NA: inborn errors of primary bile acid synthesis,Rare inborn errors of metabolism,
53,mercaptamine,Cystinosis + Cystic fibrosis,Rare inborn errors of metabolism + Rare respiratory disease,Rare inborn errors of metabolism + Rare respiratory disease,
54,elafibranor,Cholangitis sclerosing + Biliary cirrhosis primary,NA: Cholangitis sclerosing + NA: Biliary cirrhosis primary,Rare hepatic disease,
55,isavuconazole,invasive aspergillosis,NA: invasive aspergillosis,Rare infectious disease,
56,givinostat monohydrate,Duchenne muscular dystrophy,Rare neurologic disease,Rare neurologic disease,
57,odevixibat,Alagille syndrome,Rare developmental defect during embryogenesis,Rare developmental defect during embryogenesis,
58,sirolimus,Osteosarcoma + Adenomatous polyposis coli + Lymphangioma + Bronchiolitis obliterans syndrome + Soft tissue sarcoma + Sickle cell disease + Tuberous sclerosis + Pachyonychia congenita,Rare neoplastic disease + NA: Adenomatous polyposis coli + Rare developmental defect during embryogenesis + NA: Bronchiolitis obliterans syndrome + Rare hematologic disease + Rare skin disease,Rare neoplastic disease + Rare gastroenterologic disease+ Rare developmental defect during embryogenesis + Rare respiratory disease + Rare hematologic disease + Rare skin disease,
59,resminostat mesilate,Hepatocellular carcinoma + Cutaneous T-cell lymphoma + Hodgkin's disease,Rare neoplastic disease + NA: Hodgkin's disease,Rare neoplastic disease,
60,artesunate,Malaria,Rare infectious disease,Rare infectious disease,
61,eliglustat,Gaucher disease,Rare inborn errors of metabolism,Rare inborn errors of metabolism,
62,momelotinib dihydrochloride monohydrate,Myelofibrosis,Rare neoplastic disease,Rare neoplastic disease,
63,glasdegib,Acute myeloid leukaemia,Rare neoplastic disease,Rare neoplastic disease,
64,tiratricol,Thyroid hormone replacement therapy + Allan-Herndon-Dudley syndrome,NA: Thyroid hormone replacement therapy + Rare neurologic disease,Rare endocrine disease + Rare neurologic disease,
65,budesonide + micronised,Eosinophilic oesophagitis,NA: Eosinophilic oesophagitis,Rare gastroenterologic disease,
66,avacopan,C3 glomerulopathy + Granulomatosis with polyangiitis + Microscopic polyangiitis,Rare renal disease + Rare systemic or rheumatologic disease,Rare renal disease + Rare systemic or rheumatologic disease,
67,govorestat,Immunodeficiency + Galactosaemia,Rare immune disease + NA: Galactosaemia,Rare immune disease + Rare inborn errors of metabolism,
68,masitinib mesilate,Amyotrophic lateral sclerosis + Pancreatic cancer + Multiple myeloma + Mastocytosis,Rare neurologic disease + NA: Pancreatic cancer + Rare neoplastic disease,Rare neurologic disease + Rare neoplastic disease,
69,lonafarnib,Progeria,Rare developmental defect during embryogenesis,Rare developmental defect during embryogenesis,
70,chlormethine,Cutaneous T-cell lymphoma,Rare neoplastic disease,Rare neoplastic disease,
71,osilodrostat,Cushing's syndrome,NA: Cushing's syndrome,Rare endocrine disease,
72,irinotecan anhydrous free-base,Pancreatic cancer,NA: Pancreatic cancer,Rare neoplastic disease,
73,polihexanide,Keratitis fungal + Acanthamoeba keratitis,NA: Keratitis fungal + NA: Acanthamoeba keratitis,Rare ophthalmic disorder,
74,leriglitazone,Friedreich's ataxia + Adrenoleukodystrophy,NA: Friedreich's ataxia + Rare inborn errors of metabolism,Rare neurologic disease + Rare inborn errors of metabolism,
75,voxelotor,Sickle cell disease,Rare hematologic disease,Rare hematologic disease,
76,fosdenopterin hydrobromide dihydrate,Molybdenum cofactor deficiency,Rare inborn errors of metabolism,Rare inborn errors of metabolism,
77,daunorubicin ;cytarabine,Acute myeloid leukaemia,Rare neoplastic disease,Rare neoplastic disease,
78,alpelisib,Lymphangioma + PIK3CA related overgrowth spectrum,Rare developmental defect during embryogenesis + NA: PIK3CA related overgrowth spectrum,Rare developmental defect during embryogenesis + Rare developmental defect during embryogenesis,
79,glibenclamide,neonatal diabetes,Rare endocrine disease,Rare endocrine disease,
80,palovarotene,Fibrodysplasia ossificans progressiva,Rare bone disease,Rare bone disease,
81,copanlisib dihydrochloride,Marginal zone lymphoma,Rare neoplastic disease,Rare neoplastic disease,
82,arimoclomol,Inclusion body myositis + Niemann-Pick disease + Amyotrophic lateral sclerosis,Rare neurologic disease + Rare inborn errors of metabolism,Rare neurologic disease + Rare inborn errors of metabolism,
83,bardoxolone methyl,Chronic kidney disease-mineral and bone disorder + Myasthenia gravis + Neuromyelitis optica + Paroxysmal nocturnal haemoglobinuria,NA: Chronic kidney disease-mineral and bone disorder + Rare neurologic disease + NA: Paroxysmal nocturnal haemoglobinuria,Rare renal disease+ Rare neurologic disease + Rare hematologic disease,
84,infigratinib monophosphate,Cholangiocarcinoma + Hypochondroplasia + Achondroplasia,Rare neoplastic disease + Rare bone disease,Rare neoplastic disease + Rare bone disease,
85,mitapivat,Sickle cell disease + Thalassaemia alpha + Thalassaemia + Pyruvate kinase deficiency anaemia,Rare hematologic disease + NA: Thalassaemia alpha + NA: Thalassaemia + NA: Pyruvate kinase deficiency anaemia,Rare hematologic disease,
86,eflornithine ;sulindac,Familial adenomatous polyposis,Rare gastroenterologic disease,Rare gastroenterologic disease,
87,idebenone;titanium dioxide,Duchenne muscular dystrophy + Friedreich's ataxia,Rare neurologic disease + NA: Friedreich's ataxia,Rare neurologic disease,
