drug_id;drug_variant;condition;
1;"ivacaftor;tezacaftor;elexacaftor";Cystic fibrosis;
2;vorasidenib;Glioma;
3;delamanid;Tuberculosis;
4;trofinetide;Rett syndrome + Fragile X syndrome;
5;pemigatinib;Haematopoietic neoplasm + Bile duct cancer;
6;omaveloxolone;Friedreich's ataxia;
7;velmanase alfa;GENERAL Congenital, familial and genetic disorders;
8;ganaxolone;Tuberous sclerosis complex + Seizures and seizure disorders NEC;
9;cannabidiol;Mitochondrial encephalomyopathy + 22q11.2 deletion syndrome + Epidermolysis bullosa + Epilepsy with myoclonic-atonic seizures + Fragile X syndrome + Tuberous sclerosis + Lennox-Gastaut syndrome + Graft versus host disease + Perinatal asphyxia + Dravet syndrome;
10;cabozantinib;medullary thyroid carcinoma;
11;tovorafenib;Glioma;
12;paltusotine;Acromegaly;
13;mavorixafor;WHIM syndrome;
14;ivosidenib;Myelodysplastic syndrome + Chondrosarcoma + Acute myeloid leukaemia;
15;seladelpar lysine dihydrate;Primary biliary cholangitis;
15;seladelpar;Primary biliary cholangitis;
16;pretomanid;Tuberculosis;
17;sepiapterin;Hyperphenylalaninaemia;
18;vimseltinib dihydrate;Giant cell tumour of tendon sheath;
19;ripretinib;gastrointestinal stromal tumours;
20;belumosudil mesilate;Graft versus host disease;
20;belumosudil;Graft versus host disease;
21;"doxecitine;doxribtimine";Mitochondrial DNA depletion;
21;doxecitine and doxribtimine;Mitochondrial DNA depletion;
22;selumetinib;Astrocytoma, low grade;
23;dabrafenib mesilate;Glioma;
23;dabrafenib;Glioma;
24;vamorolone;Duchenne muscular dystrophy;
25;mexiletine;Myotonic disorders;
26;gilteritinib;Acute myeloid leukaemia;
27;midostaurin;Mastocytosis + Acute myeloid leukaemia;
28;fedratinib dihydrochloride monohydrate;Myelofibrosis + Primary myelofibrosis;
28;fedratinib;Myelofibrosis + Primary myelofibrosis;
29;danicopan;C3 glomerulopathy + Paroxysmal nocturnal haemoglobinuria;
30;avapritinib;Mastocytosis + Gastrointestinal stromal tumour;
31;pridopidine;Amyotrophic lateral sclerosis + Huntington's disease;
32;rilzabrutinib;Immunoglobulin G4 related disease + Autoimmune haemolytic anaemia + Immune thrombocytopenic purpura + Pemphigus;
33;glucarpidase;Adjunctive treatment in patients at risk of methotrexate toxicity;
34;iptacopan monohydrate;IgA nephropathy + Paroxysmal nocturnal haemoglobinuria + C3 glomerulopathy;
34;iptacopan;IgA nephropathy + Paroxysmal nocturnal haemoglobinuria + C3 glomerulopathy;
35;letermovir;Cytomegaloviral infections;
36;telotristat etiprate;Carcinoid tumor;
37;asciminib;Chronic myeloid leukaemia;
38;sparsentan;IgA nephropathy + Focal segmental glomerulosclerosis;
