drug_id,all_conditions,all_categories,n_unmatched
1,Cystic fibrosis,Rare respiratory disease,0
2,Glioma,Rare neoplastic disease,0
3,Tuberculosis,Rare infectious disease,0
4,Rett syndrome + Fragile X syndrome,Rare neurologic disease + Rare developmental defect during embryogenesis,0
5,Haematopoietic neoplasm + Bile duct cancer,NA: Haematopoietic neoplasm + NA: Bile duct cancer,2
6,Friedreich's ataxia,NA: Friedreich's ataxia,1
7,"GENERAL Congenital, familial and genetic disorders","NA: GENERAL Congenital, familial and genetic disorders",1
8,Tuberous sclerosis complex + Seizures and seizure disorders NEC,Rare developmental defect during embryogenesis + NA: Seizures and seizure disorders NEC,1
9,Mitochondrial encephalomyopathy + 22q11.2 deletion syndrome + Epidermolysis bullosa + Epilepsy with myoclonic-atonic seizures + Fragile X syndrome + Tuberous sclerosis + Lennox-Gastaut syndrome + Graft versus host disease + Perinatal asphyxia + Dravet syndrome,Rare neurologic disease + Rare developmental defect during embryogenesis + Rare skin disease + Rare immune disease + NA: Perinatal asphyxia,1
10,medullary thyroid carcinoma,Rare neoplastic disease,0
11,Glioma,Rare neoplastic disease,0
12,Acromegaly,Rare endocrine disease,0
13,WHIM syndrome,Rare immune disease,0
14,Myelodysplastic syndrome + Chondrosarcoma + Acute myeloid leukaemia,Rare neoplastic disease,0
15,Primary biliary cholangitis,Rare hepatic disease,0
16,Tuberculosis,Rare infectious disease,0
17,Hyperphenylalaninaemia,NA: Hyperphenylalaninaemia,1
18,Giant cell tumour of tendon sheath,NA: Giant cell tumour of tendon sheath,1
19,gastrointestinal stromal tumours,NA: gastrointestinal stromal tumours,1
20,Graft versus host disease,Rare immune disease,0
21,Mitochondrial DNA depletion,Rare inborn errors of metabolism,0
22,"Astrocytoma, low grade","NA: Astrocytoma, low grade",1
23,Glioma,Rare neoplastic disease,0
24,Duchenne muscular dystrophy,Rare neurologic disease,0
25,Myotonic disorders,NA: Myotonic disorders,1
26,Acute myeloid leukaemia,Rare neoplastic disease,0
27,Mastocytosis + Acute myeloid leukaemia,Rare neoplastic disease,0
28,Myelofibrosis + Primary myelofibrosis,Rare neoplastic disease,0
29,C3 glomerulopathy + Paroxysmal nocturnal haemoglobinuria,Rare renal disease + NA: Paroxysmal nocturnal haemoglobinuria,1
30,Mastocytosis + Gastrointestinal stromal tumour,Rare neoplastic disease,0
31,Amyotrophic lateral sclerosis + Huntington's disease,Rare neurologic disease + NA: Huntington's disease,1
32,Immunoglobulin G4 related disease + Autoimmune haemolytic anaemia + Immune thrombocytopenic purpura + Pemphigus,NA: Immunoglobulin G4 related disease + NA: Autoimmune haemolytic anaemia + NA: Immune thrombocytopenic purpura + Rare skin disease,3
33,Adjunctive treatment in patients at risk of methotrexate toxicity,NA: Adjunctive treatment in patients at risk of methotrexate toxicity,1
34,IgA nephropathy + Paroxysmal nocturnal haemoglobinuria + C3 glomerulopathy,NA: IgA nephropathy + NA: Paroxysmal nocturnal haemoglobinuria + Rare renal disease,2
35,Cytomegaloviral infections,NA: Cytomegaloviral infections,1
36,Carcinoid tumor,NA: Carcinoid tumor,1
37,Chronic myeloid leukaemia,Rare neoplastic disease,0
38,IgA nephropathy + Focal segmental glomerulosclerosis,NA: IgA nephropathy + NA: Focal segmental glomerulosclerosis,2
39,Epileptic encephalopathy + Arginase deficiency + Ornithine carbamoyltransferase deficiency,Rare neurologic disease + NA: Arginase deficiency + NA: Ornithine carbamoyltransferase deficiency,2
40,mantle cell lymphoma,Rare neoplastic disease,0
41,gastro-entero-pancreatic neuroendocrine tumours,NA: gastro-entero-pancreatic neuroendocrine tumours,1
42,Glioma,Rare neoplastic disease,0
43,cytomegalovirus disease in patients with impaired cell mediated immunity,Rare infectious disease,0
44,Hereditary angioedema with C1 esterase inhibitor deficiency,NA: Hereditary angioedema with C1 esterase inhibitor deficiency,1
45,Soft tissue sarcoma,Rare neoplastic disease,0
46,senile systemic amyloidosis,NA: senile systemic amyloidosis,1
47,Structural and other bile duct disorders + Progressive familial intrahepatic cholestasis + Primary sclerosing cholangitis + Alagille syndrome + Primary biliary cirrhosis,NA: Structural and other bile duct disorders + Rare hepatic disease + Rare developmental defect during embryogenesis + NA: Primary biliary cirrhosis,2
48,Narcolepsy,Rare neurologic disease,0
49,Fabry's disease,NA: Fabry's disease,1
50,Multiple myeloma,Rare neoplastic disease,0
51,Neurofibromatosis,Rare neurologic disease,0
52,inborn errors of primary bile acid synthesis,NA: inborn errors of primary bile acid synthesis,1
53,Cystinosis + Cystic fibrosis,Rare inborn errors of metabolism + Rare respiratory disease,0
54,Cholangitis sclerosing + Biliary cirrhosis primary,NA: Cholangitis sclerosing + NA: Biliary cirrhosis primary,2
55,invasive aspergillosis,NA: invasive aspergillosis,1
56,Duchenne muscular dystrophy,Rare neurologic disease,0
57,Alagille syndrome,Rare developmental defect during embryogenesis,0
58,Osteosarcoma + Adenomatous polyposis coli + Lymphangioma + Bronchiolitis obliterans syndrome + Soft tissue sarcoma + Sickle cell disease + Tuberous sclerosis + Pachyonychia congenita,Rare neoplastic disease + NA: Adenomatous polyposis coli + Rare developmental defect during embryogenesis + NA: Bronchiolitis obliterans syndrome + Rare hematologic disease + Rare skin disease,2
59,Hepatocellular carcinoma + Cutaneous T-cell lymphoma + Hodgkin's disease,Rare neoplastic disease + NA: Hodgkin's disease,1
60,Malaria,Rare infectious disease,0
61,Gaucher disease,Rare inborn errors of metabolism,0
62,Myelofibrosis,Rare neoplastic disease,0
63,Acute myeloid leukaemia,Rare neoplastic disease,0
64,Thyroid hormone replacement therapy + Allan-Herndon-Dudley syndrome,NA: Thyroid hormone replacement therapy + Rare neurologic disease,1
65,Eosinophilic oesophagitis,NA: Eosinophilic oesophagitis,1
66,C3 glomerulopathy + Granulomatosis with polyangiitis + Microscopic polyangiitis,Rare renal disease + Rare systemic or rheumatologic disease,0
67,Immunodeficiency + Galactosaemia,Rare immune disease + NA: Galactosaemia,1
68,Amyotrophic lateral sclerosis + Pancreatic cancer + Multiple myeloma + Mastocytosis,Rare neurologic disease + NA: Pancreatic cancer + Rare neoplastic disease,1
69,Progeria,Rare developmental defect during embryogenesis,0
70,Cutaneous T-cell lymphoma,Rare neoplastic disease,0
71,Cushing's syndrome,NA: Cushing's syndrome,1
72,Pancreatic cancer,NA: Pancreatic cancer,1
73,Keratitis fungal + Acanthamoeba keratitis,NA: Keratitis fungal + NA: Acanthamoeba keratitis,2
74,Friedreich's ataxia + Adrenoleukodystrophy,NA: Friedreich's ataxia + Rare inborn errors of metabolism,1
75,Sickle cell disease,Rare hematologic disease,0
76,Molybdenum cofactor deficiency,Rare inborn errors of metabolism,0
77,Acute myeloid leukaemia,Rare neoplastic disease,0
78,Lymphangioma + PIK3CA related overgrowth spectrum,Rare developmental defect during embryogenesis + NA: PIK3CA related overgrowth spectrum,1
79,neonatal diabetes,Rare endocrine disease,0
80,Fibrodysplasia ossificans progressiva,Rare bone disease,0
81,Marginal zone lymphoma,Rare neoplastic disease,0
82,Inclusion body myositis + Niemann-Pick disease + Amyotrophic lateral sclerosis,Rare neurologic disease + Rare inborn errors of metabolism,0
83,Chronic kidney disease-mineral and bone disorder + Myasthenia gravis + Neuromyelitis optica + Paroxysmal nocturnal haemoglobinuria,NA: Chronic kidney disease-mineral and bone disorder + Rare neurologic disease + NA: Paroxysmal nocturnal haemoglobinuria,2
