variant_1;variant_2;variant_3;variant_4
"ivacaftor;tezacaftor;elexacaftor";;;
vorasidenib;;;
delamanid;;;
trofinetide;;;
pemigatinib;;;
omaveloxolone;;;
velmanase alfa;;;
ganaxolone;;;
cannabidiol;;;
cabozantinib;;;
tovorafenib;;;
paltusotine;;;
mavorixafor;;;
ivosidenib;;;
seladelpar lysine dihydrate;seladelpar;;
pretomanid;;;
sepiapterin;;;
vimseltinib dihydrate;;;
ripretinib;;;
belumosudil mesilate;belumosudil;;
"doxecitine;doxribtimine";doxecitine and doxribtimine;;
selumetinib;;;
dabrafenib mesilate;dabrafenib;;
vamorolone;;;
mexiletine;;;
gilteritinib;;;
midostaurin;;;
fedratinib dihydrochloride monohydrate;fedratinib;;
danicopan;;;
avapritinib;;;
pridopidine;;;
rilzabrutinib;;;
glucarpidase;;;
iptacopan  monohydrate;iptacopan;;
letermovir;;;
telotristat etiprate;;;
asciminib;;;
sparsentan;;;
glycerol phenylbutyrate;phenylbutyrate;;
niraparib;;;
lutetium  oxodotreotide;;;
trametinib dimethyl sulfoxide;trametinib;;
maribavir;;;
sebetralstat;;;
nirogacestat hydrobromide;nirogacestat;;
tafamidis;;;
maralixibat chloride;maralixibat;;
pitolisant;;;
migalastat;;;
ixazomib;;;
mirdametinib;;;
chenodeoxycholic acid;chenodiol;;
mercaptamine;;;
elafibranor;;;
isavuconazole;;;
givinostat  monohydrate;givinostat;;
odevixibat;;;
sirolimus;;;
resminostat mesilate;;;
artesunate;;;
eliglustat;;;
momelotinib dihydrochloride monohydrate;momelotinib;;
glasdegib;;;
tiratricol;;;
budesonide + micronised;budesonide;;
avacopan;;;
govorestat;;;
masitinib mesilate;masitinib;;
lonafarnib;;;
chlormethine;meclorethamine;;
osilodrostat;;;
irinotecan anhydrous free-base;irinotecan liposome injection;;
polihexanide;;;
leriglitazone;;;
voxelotor;;;
fosdenopterin hydrobromide dihydrate;fosdenopterin;;
"daunorubicin ;cytarabine";;;
alpelisib;;;
glibenclamide;;;
palovarotene;;;
copanlisib dihydrochloride;copanlisib;;
arimoclomol;;;
bardoxolone methyl;;;
infigratinib monophosphate;;;
mitapivat;;;
"eflornithine ;sulindac";;;
"idebenone;titanium dioxide";idebenone;;
pexidartinib;;;
deferiprone;;;
edaravone;;;
benzoate;;;
caffeine;;;
mifepristone;;;
etarfolatide;;;
romidepsin;;;
pralatrexate;;;
gusperimus trihydrochloride;;;
beclomethasone dipropionate;;;
eprodisate disodium;;;
fluocinolone acetonide;fluocinolone;;
rubitecan;;;
bosentan;;;
5-aminolevulinic acid;;;
acalabrutinib;;;
acetylcysteine;;;
acoramidis;;;
acyclovir;;;
adagrasib;;;
afatinib;;;
aficamten;;;
albendazole;;;
alectinib;;;
alitretinoin;;;
allopurinol;;;
altretamine;;;
amantadine;;;
ambrisentan;;;
amifampridine;;;
amifostine;;;
amiodarone hcl;;;
amphotericin b lipid complex;liposomal amphotericin b;;
anagrelide;;;
apomorphine hcl;apomorphine;;
apremilast;;;
aripiprazole;;;
arsenic trioxide;;;
artemether/lumefantrine;;;
ascorbic acid;;;
atovaquone;;;
avatrombopag;;;
"avutometinib; defactinib";;;
azacitidine;;;
aztreonam;;;
baclofen;;;
balsalazide disodium;;;
bedaquiline;;;
belinostat;;;
belzutifan;;;
bendamustine for 50 ml admixture;bendamustine;;
benznidazole;;;
benzoate and phenylacetate;;;
berotralstat;;;
betaine;;;
bexarotene;;;
bicarbonate infusate;;;
birch triterpenes;;;
bortezomib;;;
bosutinib;;;
brigatinib;;;
brilliant blue g ophthalmic solution;;;
brincidofovir;;;
buprenorphine in combination with naloxone;;;
busulfan;;;
calcium;;;
calcium + magnesium + potassium + and  oxybates;;;
capmatinib;;;
capsaicin;;;
carfilzomib;;;
carglumic acid;;;
cedazuridine and decitabine;;;
ceritinib;;;
cholic acid;;;
cinacalcet;;;
cladribine;;;
clobazam;;;
clofarabine;;;
clofazimine;;;
clonidine;;;
clotrimazole;;;
cobicistat;;;
cobimetinib;;;
colchicine;;;
colfosceril palmitate + cetyl alcohol + tyloxapol;;;
copper histidinate;;;
crinecerfont;;;
crizotinib;;;
cromolyn   ophthalmic solution;cromolyn;;
cysteamine enteric coated;cysteamine;;
cytarabine liposomal;;;
d6-tetrabenazine + deutetrabenazine;;;
dacomitinib;;;
dalfampridine;;;
dantrolene  suspension for injection;;;
dasatinib;;;
daunorubicin  liposome injection;;;
decitabine;;;
deferasirox;;;
deflazacort;;;
dehydrated alcohol;;;
delandistrogene moxeparvovec-rokl;;;
dexamethasone intravitreal implant;dexamethasone;;
dexrazoxane;;;
diazepam;;;
diazoxide choline;;;
dichlorphenamide;;;
diethylenetriaminepentaacetic acid;;;
difluprednate;;;
dordaviprone;;;
doxorubicin hcl liposome injection;doxorubicin liposome;;
dronabinol;;;
droxidopa;;;
duvelisib;;;
eflornithine hcl;eflornithine;eflornithine  monohydrate;
elamipretide;;;
elapegademase-lvlr;;;
eltrombopag;;;
emtricitabine and tenofovir alafenamide;;;
enasidenib;;;
encorafenib;;;
encorafenib + binimetinib;;;
entrectinib;;;
epirubicin;;;
epoetin alfa;;;
epoprostenol;;;
eribulin;;;
ethanolamine oleate;;;
ethiodized oil injection;;;
etidronate disodium;;;
everolimus;;;
exemestane;;;
felbamate;;;
fenfluramine hci;fenfluramine;;
ferumoxytol;;;
fexinidazole;;;
fludarabine  oral tablets;fludarabine;;
fomepizole;;;
foscarbidopa and foslevodopa;;;
fosphenytoin;;;
fostamatinib disodium hexahydrate;;;
futibatinib;;;
gabapentin;;;
gabapentin enacarbil;;;
gallium-68 octreotide;;;
ganciclovir intravitreal implant;ganciclovir;;
gefitinib;;;
glutamine;;;
glycopyrrolate;;;
halofantrine;;;
hemin;;;
hydrocortisone;;;
